candidate_id,project_id,country_id,exposure_dimension,candidate_variable_name,candidate_variable_type,required_data,available_data,missing_data,evidence_status,source_reliability,quantification_status,time_coverage,spatial_coverage,model_readiness,not_index_score,interpretation_boundary,notes
"china_exposure:pl-china-europe-rail-malaszewicze","pl-china-europe-rail-malaszewicze","poland","物流暴露","波兰-中欧班列与马拉舍维切物流节点-物流暴露","状态变量","项目名称；国家；行业；中国主体；当地主体；年份；来源链接；来源等级；年度 TEU 或货运量；年度货值；口岸或线路主体","项目名称；国家；地区/城市；行业；中国主体；当地主体；年份/状态时间；来源链接；来源等级","金额或年度流量；币种或金额口径；主体链条复核；产能/货运量/股权/合同等量化字段","部分可量化","C","部分可量化","持续运营","马拉舍维切 / 布列斯特边境通道","需补数据后再评估","true","暴露变量候选库不生成中国经济暴露指数；不输出国家排名；不输出风险分数；不输出政策判断。","适合作为物流通道暴露变量候选，但必须先补年度 TEU、货值、口岸吞吐和运营主体字段；现阶段不直接进入量化指数。 事件、主体、年份或来源基本明确，但金额、股比、产能、TEU 或合同口径尚未补齐，只能做事件型或结构型变量候选。"
"china_exposure:pl-leapmotor-tychy-assembly","pl-leapmotor-tychy-assembly","poland","供应链暴露","波兰-Leapmotor T03 蒂黑组装项目-供应链暴露","状态变量","项目名称；国家；行业；中国主体；当地主体；年份；来源链接；来源等级；投资金额；产能；工厂状态；股权或合作关系","项目名称；国家；地区/城市；行业；中国主体；当地主体；年份/状态时间；来源链接；来源等级","金额或年度流量；币种或金额口径；主体链条复核；产能/货运量/股权/合同等量化字段","部分可量化","B","部分可量化","2024","蒂黑","需补数据后再评估","true","暴露变量候选库不生成中国经济暴露指数；不输出国家排名；不输出风险分数；不输出政策判断。","适合作为中国 EV 企业进入欧盟制造网络的事件型变量；金额和产量缺失前只能作解释变量，不进入量化暴露指数。 事件、主体、年份或来源基本明确，但金额、股比、产能、TEU 或合同口径尚未补齐，只能做事件型或结构型变量候选。"
"china_exposure:pl-nuctech-kobylka","pl-nuctech-kobylka","poland","技术/设备暴露","波兰-Nuctech 波兰安检设备基地-技术/设备暴露","状态变量","项目名称；国家；行业；中国主体；当地主体；年份；来源链接；来源等级；可量化口径","项目名称；国家；地区/城市；行业；中国主体；当地主体；年份/状态时间；来源链接；来源等级","金额或年度流量；币种或金额口径；主体链条复核；产能/货运量/股权/合同等量化字段","仅作背景","A","暂不可量化","2018","Kobylka / 华沙周边","仅作背景解释","true","暴露变量候选库不生成中国经济暴露指数；不输出国家排名；不输出风险分数；不输出政策判断。","更适合作为公共采购和监管事件样本；金额、合同和客户结构缺失前，不适合作为经济暴露变量主项。 当前记录主要提供项目线索或背景信息，缺少可稳定量化的金额、主体链条或事件口径。"
"china_exposure:hu-catl-debrecen","hu-catl-debrecen","hungary","供应链暴露","匈牙利-CATL 德布勒森电池工厂-供应链暴露","金额变量","项目名称；国家；行业；中国主体；当地主体；年份；来源链接；来源等级；投资金额；产能；工厂状态；股权或合作关系","项目名称；国家；地区/城市；行业；中国主体；当地主体；年份/状态时间；金额；来源链接；来源等级","产能/货运量/股权/合同等量化字段","可量化","C","可量化","2022","德布勒森","可作为未来模型候选","true","暴露变量候选库不生成中国经济暴露指数；不输出国家排名；不输出风险分数；不输出政策判断。","金额、地点、行业和主体较清楚，适合作为后续中国制造业投资暴露变量的高优先级候选；量化前需补产能和补贴字段。 已具备金额、主体、年份和可点击来源，可作为项目级量化候选；进入正式分析前仍需复核金额口径。"
"china_exposure:hu-byd-szeged","hu-byd-szeged","hungary","供应链暴露","匈牙利-BYD 塞格德新能源汽车工厂-供应链暴露","状态变量","项目名称；国家；行业；中国主体；当地主体；年份；来源链接；来源等级；投资金额；产能；工厂状态；股权或合作关系","项目名称；国家；地区/城市；行业；中国主体；当地主体；年份/状态时间；来源链接；来源等级","金额或年度流量；币种或金额口径；主体链条复核；产能/货运量/股权/合同等量化字段","部分可量化","B","部分可量化","2023","塞格德","需补数据后再评估","true","暴露变量候选库不生成中国经济暴露指数；不输出国家排名；不输出风险分数；不输出政策判断。","适合作为整车制造进入欧盟市场的项目变量候选；金额和产能未接入前，不进入金额型暴露计算。 事件、主体、年份或来源基本明确，但金额、股比、产能、TEU 或合同口径尚未补齐，只能做事件型或结构型变量候选。"
"china_exposure:hu-budapest-belgrade-rail","hu-budapest-belgrade-rail","hungary","物流暴露","匈牙利-布达佩斯-贝尔格莱德铁路匈牙利段-物流暴露","金额变量","项目名称；国家；行业；中国主体；当地主体；年份；来源链接；来源等级；年度 TEU 或货运量；年度货值；口岸或线路主体","项目名称；国家；地区/城市；行业；中国主体；当地主体；年份/状态时间；金额；来源链接；来源等级","主体链条复核","可量化","A","可量化","2021","布达佩斯-凯莱比奥","可作为未来模型候选","true","暴露变量候选库不生成中国经济暴露指数；不输出国家排名；不输出风险分数；不输出政策判断。","金额和基础设施属性明确，适合作为中国融资/承包暴露变量候选；进入量化前需拆分贷款结构、承包商份额和项目阶段。 已具备金额、主体、年份和可点击来源，可作为项目级量化候选；进入正式分析前仍需复核金额口径。"
"china_exposure:cz-changhong-nymburk","cz-changhong-nymburk","czechia","仅背景","捷克-长虹欧洲 Nymburk 电子制造基地-仅背景","金额变量","项目名称；国家；行业；中国主体；当地主体；年份；来源链接；来源等级；可量化口径","项目名称；国家；地区/城市；行业；中国主体；当地主体；年份/状态时间；金额；来源链接；来源等级","产能/货运量/股权/合同等量化字段","可量化","C","可量化","2007","Nymburk","可作为未来模型候选","true","暴露变量候选库不生成中国经济暴露指数；不输出国家排名；不输出风险分数；不输出政策判断。","可作为早期制造业进入样本；金额年代较早且当前产能/雇佣缺失，暂不适合作为当前中国经济暴露核心变量。 已具备金额、主体、年份和可点击来源，可作为项目级量化候选；进入正式分析前仍需复核金额口径。"
"china_exposure:cz-cefc-citic-slavia","cz-cefc-citic-slavia","czechia","仅背景","捷克-CEFC/CITIC/Sinobo 对 Slavia Prague 及相关资产投资-仅背景","状态变量","项目名称；国家；行业；中国主体；当地主体；年份；来源链接；来源等级；可量化口径","项目名称；国家；地区/城市；行业；中国主体；当地主体；年份/状态时间；来源链接；来源等级","金额或年度流量；币种或金额口径；主体链条复核","部分可量化","B","部分可量化","2015-2018","布拉格","需补数据后再评估","true","暴露变量候选库不生成中国经济暴露指数；不输出国家排名；不输出风险分数；不输出政策判断。","适合作为资产收购和政治经济关系样本；在资产范围和所有权链条未拆分前，不进入经济暴露量化。 事件、主体、年份或来源基本明确，但金额、股比、产能、TEU 或合同口径尚未补齐，只能做事件型或结构型变量候选。"
"china_exposure:cz-cefc-jt-finance","cz-cefc-jt-finance","czechia","金融暴露","捷克-CEFC/CITIC 对 J&T Finance Group 股权关系-金融暴露","状态变量","项目名称；国家；行业；中国主体；当地主体；年份；来源链接；来源等级；金额；股比；治理权；所有权链条","项目名称；国家；地区/城市；行业；中国主体；当地主体；年份/状态时间；来源链接；来源等级","金额或年度流量；币种或金额口径；主体链条复核；产能/货运量/股权/合同等量化字段","部分可量化","C","部分可量化","2015-至今待核验","布拉格 / 捷克-斯洛伐克金融网络","需补数据后再评估","true","暴露变量候选库不生成中国经济暴露指数；不输出国家排名；不输出风险分数；不输出政策判断。","金融网络暴露相关性较强，但金额、股比和治理权缺失；补齐后可作为金融权益暴露变量候选。 事件、主体、年份或来源基本明确，但金额、股比、产能、TEU 或合同口径尚未补齐，只能做事件型或结构型变量候选。"
"china_exposure:sk-gotion-inobat-surany","sk-gotion-inobat-surany","slovakia","金融暴露","斯洛伐克-Gotion/InoBat 苏拉尼电池超级工厂-金融暴露","金额变量","项目名称；国家；行业；中国主体；当地主体；年份；来源链接；来源等级；金额；股比；治理权；所有权链条","项目名称；国家；地区/城市；行业；中国主体；当地主体；年份/状态时间；金额；来源链接；来源等级","主体链条复核；产能/货运量/股权/合同等量化字段","可量化","C","可量化","2023","Surany","可作为未来模型候选","true","暴露变量候选库不生成中国经济暴露指数；不输出国家排名；不输出风险分数；不输出政策判断。","金额、行业和地点较明确，适合作为电池供应链暴露变量候选；进入量化前需补股权、补贴、产能和建设进度。 已具备金额、主体、年份和可点击来源，可作为项目级量化候选；进入正式分析前仍需复核金额口径。"
"china_exposure:sk-gotion-inobat-equity","sk-gotion-inobat-equity","slovakia","金融暴露","斯洛伐克-Gotion 对 InoBat 股权与技术合作-金融暴露","状态变量","项目名称；国家；行业；中国主体；当地主体；年份；来源链接；来源等级；金额；股比；治理权；所有权链条","项目名称；国家；地区/城市；行业；中国主体；当地主体；年份/状态时间；来源链接；来源等级","金额或年度流量；币种或金额口径；主体链条复核；产能/货运量/股权/合同等量化字段","部分可量化","C","部分可量化","2023","Bratislava / Voderady / Surany 相关网络","需补数据后再评估","true","暴露变量候选库不生成中国经济暴露指数；不输出国家排名；不输出风险分数；不输出政策判断。","适合作为供应链控制关系或技术合作变量候选；金额、股比和治理权缺失前不进入金额型暴露计算。 事件、主体、年份或来源基本明确，但金额、股比、产能、TEU 或合同口径尚未补齐，只能做事件型或结构型变量候选。"
