source_id,name_zh,name_en,source_type,coverage,indicator_coverage,url,reliability_level,source_status,update_frequency,can_be_official_data,can_be_event_basis,supplemental_only,excluded_from_analysis,last_checked_at,note
"eurostat","Eurostat","Eurostat","Eurostat","欧盟与欧洲国家","宏观、财政、外部、能源、产业","https://ec.europa.eu/eurostat/databrowser/","A","official","按数据集更新","true","false","false","false","2026-07-17","官方统计数据库；可作为宏观数据和正式观测值来源，不作为新闻事件依据。"
"national_statistics","各国统计局","National statistical offices","各国统计局","十国","人口、国民账户、价格、劳动力、产业","https://hui-sallai.github.io/central-europe-political-atlas/data/","A","official","按国家发布节奏","true","false","false","false","2026-07-17","国家官方统计机构；用于正式观测值，正式版逐国替换为具体统计局链接。"
"national_central_banks","各国央行","National central banks","各国央行","十国","国际收支、FDI、金融与宏观背景","https://www.ecb.europa.eu/","A","official","按指标更新","true","false","false","false","2026-07-17","用于 FDI、经常账户和金融口径交叉核验；不作为新闻事件依据。"
"international_organizations","国际组织","International organizations","国际组织","全球 / 欧洲","宏观、投资、能源、贸易补充","https://data.oecd.org/","A","official","按机构更新","true","true","false","false","2026-07-17","OECD、IMF、World Bank、UNCTAD 等可作为正式数据或事件依据。"
"eu_institutions","欧盟机构","EU institutions","欧盟机构","欧盟","财政、监管、项目与政策事件","https://european-union.europa.eu/","A","official","按公告更新","true","true","false","false","2026-07-17","欧盟委员会、理事会、议会等官方材料可作为正式数据和事件依据。"
"official_government","官方政府部门","Official government departments","官方政府部门","十国","政府结构、政策事件、项目公告","https://hui-sallai.github.io/central-europe-political-atlas/methodology/","A","official","按公告更新","true","true","false","false","2026-07-17","政府公告、部委材料和正式政策文件可作为正式数据或事件依据。"
"electoral_commissions","选举机构","Electoral commissions","选举机构","十国","选举结果、政党、区域投票","https://hui-sallai.github.io/central-europe-political-atlas/methodology/","A","pending","按选举周期","true","true","false","false","2026-07-17","官方选举结果可作为正式数据和事件依据；当前区域选举数据待接入。"
"mainstream_wire","主流通讯社","Mainstream news agencies","主流通讯社","全球 / 欧洲","新闻事件、项目状态","https://www.reuters.com/","B","manual","实时 / 日更","false","true","true","false","2026-07-17","可作为事件依据和补充线索；正式数据仍优先使用 A 级来源。"
"authoritative_thinktanks","权威智库","Authoritative think tanks","权威智库","欧洲 / 区域","背景解释、专题事件","https://www.bruegel.org/","B","manual","按报告更新","false","true","true","false","2026-07-17","可作为事件依据或补充解释，不能替代官方统计。"
"official_annual_reports","官方年报","Official annual reports","官方年报","机构 / 企业 / 政府","项目主体、金额、股权、产能","https://hui-sallai.github.io/central-europe-political-atlas/data/","B","manual","年度","true","true","false","false","2026-07-17","可作为项目金额、主体、股权和产能核验来源。"
"company_announcements","企业公告","Company announcements","企业公告","项目主体","对华项目金额、主体、时间线","https://hui-sallai.github.io/central-europe-political-atlas/data/","B","manual","按公告更新","true","true","false","false","2026-07-17","可作为项目和企业行为依据；关键金额进入分析前需与官方或年报交叉核验。"
"local_media","地方媒体","Local media","地方媒体","国家 / 地方","项目线索、地方事件","https://hui-sallai.github.io/central-europe-political-atlas/news/","C","manual","不定期","false","true","true","false","2026-07-17","可作为事件线索和地方补充，不单独进入正式数据。"
"industry_sites","行业网站","Industry websites","行业网站","行业 / 企业","产业链、汽车、能源、物流项目","https://hui-sallai.github.io/central-europe-political-atlas/data/","C","manual","不定期","false","true","true","false","2026-07-17","可作为行业事件和项目线索，进入正式分析前需更高等级来源复核。"
"manual_sources","人工整理来源","Manually curated sources","人工整理来源","平台内部","摘要、翻译、字段整理","https://hui-sallai.github.io/central-europe-political-atlas/methodology/","C","manual","随数据维护","false","true","true","false","2026-07-17","必须回链到原始来源，不能单独作为正式依据。"
"pending_sources","待接入来源","Pending sources","待接入来源","待定","缺失字段","https://hui-sallai.github.io/central-europe-political-atlas/data/","D","pending","待定","false","false","false","true","2026-07-17","字段预留但来源尚未接入；不进入正式数据、事件库或后续分析。"
"sample_sources","结构样例来源","Structural sample sources","结构样例来源","平台结构测试","页面结构、地图样例、新闻样例","https://hui-sallai.github.io/central-europe-political-atlas/methodology/","D","sample","不更新","false","false","false","true","2026-07-17","只用于验证结构，不进入正式数据、事件库、模型或分析。"
